date,open,high,low,close,volume
25/08/87,1.8839,1.9018,1.8571,1.8571,34160000
26/08/87,1.8929,1.9107,1.8571,1.8571,49000000
27/08/87,1.8661,1.8839,1.8393,1.8571,31080000
28/08/87,1.8571,1.875,1.8393,1.8571,23954000
31/08/87,1.8661,1.9375,1.8482,1.9286,37520000
01/09/87,1.9554,1.9732,1.875,1.875,34720000
02/09/87,1.8571,1.9018,1.8125,1.8571,57400000
03/09/87,1.875,1.8839,1.7946,1.8304,46200000
04/09/87,1.8304,1.8482,1.7857,1.8036,27109600
08/09/87,1.7946,1.8036,1.7321,1.7814,43960000
09/09/87,1.7946,1.8929,1.7679,1.8839,39480000
10/09/87,1.9018,1.9464,1.8975,1.9196,35000000
11/09/87,1.9286,1.9821,1.8839,1.9464,31080000
14/09/87,1.9554,1.9732,1.8839,1.8929,20476400
15/09/87,1.8929,1.8929,1.8393,1.8482,26152000
